DATE,DATE_yrmo,ELEVATION,LATITUDE,LONGITUDE,Month,PRCP,TAVG,TAVG_CELS,TMAX,TMIN,TAVG_CELS_59_87,temp_anomalies
19610214.50,196102,240.00,67.82,27.75,2.00,0.03,9.16,-12.69,19.50,-1.18,-15.95,3.26
19610316.00,196103,240.00,67.82,27.75,3.00,0.03,17.05,-8.31,26.39,7.71,-10.76,2.45
19610415.50,196104,240.00,67.82,27.75,4.00,0.01,20.12,-6.60,31.80,8.43,-4.01,-2.59
19610516.00,196105,240.00,67.82,27.75,5.00,0.04,36.98,2.77,42.39,31.58,3.57,-0.80
19610615.50,196106,240.00,67.82,27.75,6.00,0.12,56.27,13.48,64.83,47.70,10.14,3.34
19610716.00,196107,240.00,67.82,27.75,7.00,0.10,58.60,14.78,66.81,50.39,12.92,1.85
19610816.00,196108,240.00,67.82,27.75,8.00,0.07,51.35,10.75,59.42,43.29,10.43,0.32
19610915.50,196109,240.00,67.82,27.75,9.00,0.05,42.88,6.05,49.50,36.27,5.17,0.88
19611016.00,196110,240.00,67.82,27.75,10.00,0.09,40.92,4.96,44.71,37.13,-1.29,6.25
19611115.50,196111,240.00,67.82,27.75,11.00,0.05,24.77,-4.02,29.30,20.23,-8.14,4.12
19611216.00,196112,240.00,67.82,27.75,12.00,0.02,5.10,-14.95,14.65,-4.45,-13.96,-0.98
19620116.00,196201,240.00,67.82,27.75,1.00,0.04,4.24,-15.42,14.58,-6.10,-16.62,1.20
19620214.50,196202,240.00,67.82,27.75,2.00,0.02,9.05,-12.75,18.18,-0.07,-15.95,3.20
19620316.00,196203,240.00,67.82,27.75,3.00,0.00,-1.60,-18.66,14.81,-18.00,-10.76,-7.91
19620415.50,196204,240.00,67.82,27.75,4.00,0.03,29.83,-1.20,37.27,22.40,-4.01,2.80
19620516.00,196205,240.00,67.82,27.75,5.00,0.05,37.53,3.07,44.68,30.39,3.57,-0.50
19620615.50,196206,240.00,67.82,27.75,6.00,0.04,47.15,8.42,54.53,39.77,10.14,-1.72
19620716.00,196207,240.00,67.82,27.75,7.00,0.07,50.48,10.27,58.52,42.45,12.92,-2.65
19620816.00,196208,240.00,67.82,27.75,8.00,0.06,47.42,8.57,54.52,40.32,10.43,-1.87
19620915.50,196209,240.00,67.82,27.75,9.00,0.05,41.27,5.15,47.10,35.43,5.17,-0.02
19621016.00,196210,240.00,67.82,27.75,10.00,0.06,29.29,-1.51,36.81,21.77,-1.29,-0.21
19621115.50,196211,240.00,67.82,27.75,11.00,0.03,24.77,-4.02,29.93,19.60,-8.14,4.12
19621216.00,196212,240.00,67.82,27.75,12.00,0.02,-0.50,-18.06,11.84,-12.84,-13.96,-4.09
19630116.00,196301,240.00,67.82,27.75,1.00,0.03,-0.66,-18.15,13.23,-14.55,-16.62,-1.53
19630214.50,196302,240.00,67.82,27.75,2.00,0.02,-0.64,-18.13,10.93,-12.21,-15.95,-2.19
